NU_ANO,Q024,TP_ESCOLA,SG_UF_PROVA,QTD
2021,B,1,RN,26490
2021,B,1,RO,9855
2021,B,1,RR,2186
2021,B,1,RS,51767
2021,B,1,SC,22772
2021,B,1,SE,14210
2021,B,1,SP,159558
2021,B,1,TO,8189
2021,B,2,AC,1323
2021,B,2,AL,2945
2021,B,2,AM,8481
2021,B,2,AP,1123
2021,B,2,BA,23212
2021,B,2,CE,14891
2021,B,2,DF,7619
2021,B,2,ES,9312
2021,B,2,GO,20809
2021,B,2,MA,6506
2021,B,2,MG,39835
2021,B,2,MS,6017
2021,B,2,MT,7007
2021,B,2,PA,8267
2021,B,2,PB,6043
2021,B,2,PE,13322
2021,B,2,PI,4031
2021,B,2,PR,24673
2021,B,2,RJ,23777
2021,B,2,RN,6006
2021,B,2,RO,4199
2021,B,2,RR,826
2021,B,2,RS,22187
2021,B,2,SC,15645
2021,B,2,SE,2479
2021,B,2,SP,70023
2021,B,2,TO,3077
2021,B,3,AC,115
2021,B,3,AL,1618
2021,B,3,AM,595
2021,B,3,AP,196
2021,B,3,BA,5734
2021,B,3,CE,3195
2021,B,3,DF,1672
2021,B,3,ES,1072
2021,B,3,GO,2706
2021,B,3,MA,1312
2021,B,3,MG,5550
2021,B,3,MS,761
2021,B,3,MT,953
2021,B,3,PA,2628
2021,B,3,PB,2139
2021,B,3,PE,3673
2021,B,3,PI,1489
2021,B,3,PR,3535
2021,B,3,RJ,9665
2021,B,3,RN,1644
2021,B,3,RO,219
2021,B,3,RR,63
2021,B,3,RS,2630
2021,B,3,SC,2106
2021,B,3,SE,1364
2021,B,3,SP,18737
2021,B,3,TO,257
2021,C,1,AC,910
2021,C,1,AL,2739
2021,C,1,AM,2877
2021,C,1,AP,1078
2021,C,1,BA,12332
2021,C,1,CE,8363
2021,C,1,DF,7509
2021,C,1,ES,5202
2021,C,1,GO,8306
2021,C,1,MA,4512
2021,C,1,MG,31331
2021,C,1,MS,3019
2021,C,1,MT,4275
2021,C,1,PA,6644
2021,C,1,PB,5687
2021,C,1,PE,9704
2021,C,1,PI,3645
2021,C,1,PR,13968
2021,C,1,RJ,21482
2021,C,1,RN,5594
2021,C,1,RO,1873
2021,C,1,RR,564
2021,C,1,RS,14766
2021,C,1,SC,7867
2021,C,1,SE,2812
2021,C,1,SP,51298
2021,C,1,TO,1749
2021,C,2,AC,209
2021,C,2,AL,283
2021,C,2,AM,1296
2021,C,2,AP,181
2021,C,2,BA,2263
2021,C,2,CE,1287
2021,C,2,DF,1984
2021,C,2,ES,1785
2021,C,2,GO,2897
2021,C,2,MA,703
2021,C,2,MG,8366
2021,C,2,MS,1125
2021,C,2,MT,1167
2021,C,2,PA,960
2021,C,2,PB,605
2021,C,2,PE,1488
2021,C,2,PI,442
2021,C,2,PR,6298
2021,C,2,RJ,4321
2021,C,2,RN,861
2021,C,2,RO,660
2021,C,2,RR,183
2021,C,2,RS,5343
2021,C,2,SC,3948
2021,C,2,SE,220
2021,C,2,SP,16643
2021,C,2,TO,521
2021,C,3,AC,86
2021,C,3,AL,594
2021,C,3,AM,395
2021,C,3,AP,134
2021,C,3,BA,2583
2021,C,3,CE,1764
2021,C,3,DF,1544
2021,C,3,ES,844
2021,C,3,GO,1577
2021,C,3,MA,634
2021,C,3,MG,4562
2021,C,3,MS,539
2021,C,3,MT,627
2021,C,3,PA,1152
2021,C,3,PB,1043
2021,C,3,PE,1878
2021,C,3,PI,806
2021,C,3,PR,3230
2021,C,3,RJ,5946
2021,C,3,RN,811
2021,C,3,RO,121
2021,C,3,RR,46
2021,C,3,RS,2309
2021,C,3,SC,1819
2021,C,3,SE,627
2021,C,3,SP,14978
2021,C,3,TO,211
2021,D,1,AC,243
2021,D,1,AL,966
2021,D,1,AM,930
2021,D,1,AP,363
2021,D,1,BA,3955
2021,D,1,CE,3023
2021,D,1,DF,3744
2021,D,1,ES,1756
2021,D,1,GO,2798
2021,D,1,MA,1321
2021,D,1,MG,11177
2021,D,1,MS,1094
2021,D,1,MT,1383
2021,D,1,PA,1965
2021,D,1,PB,1966
2021,D,1,PE,3523
2021,D,1,PI,1138
2021,D,1,PR,5443
2021,D,1,RJ,8335
2021,D,1,RN,1769
2021,D,1,RO,489
2021,D,1,RR,210
2021,D,1,RS,5227
2021,D,1,SC,3066
2021,D,1,SE,918
2021,D,1,SP,21801
2021,D,1,TO,577
2021,D,2,AC,53
2021,D,2,AL,72
2021,D,2,AM,314
2021,D,2,AP,35
2021,D,2,BA,463
2021,D,2,CE,276
2021,D,2,DF,729
2021,D,2,ES,467
2021,D,2,GO,613
2021,D,2,MA,159
2021,D,2,MG,2226
2021,D,2,MS,314
