NU_ANO,TP_ESCOLA,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2023,2,1.0,PR,40822
2023,2,1.0,RJ,39635
2023,2,1.0,RN,12458
2023,2,1.0,RO,9140
2023,2,1.0,RR,1804
2023,2,1.0,RS,29610
2023,2,1.0,SC,23620
2023,2,1.0,SE,7644
2023,2,1.0,SP,128176
2023,2,1.0,TO,5923
2023,2,2.0,AC,470
2023,2,2.0,AL,1042
2023,2,2.0,AM,1559
2023,2,2.0,AP,252
2023,2,2.0,BA,2272
2023,2,2.0,CE,5623
2023,2,2.0,DF,383
2023,2,2.0,ES,837
2023,2,2.0,GO,840
2023,2,2.0,MA,3197
2023,2,2.0,MG,2001
2023,2,2.0,MS,600
2023,2,2.0,MT,1088
2023,2,2.0,PA,1858
2023,2,2.0,PB,822
2023,2,2.0,PE,1968
2023,2,2.0,PI,800
2023,2,2.0,PR,1595
2023,2,2.0,RJ,1340
2023,2,2.0,RN,525
2023,2,2.0,RO,414
2023,2,2.0,RR,220
2023,2,2.0,RS,1173
2023,2,2.0,SC,662
2023,2,2.0,SE,472
2023,2,2.0,SP,2100
2023,2,2.0,TO,510
2023,3,1.0,AC,367
2023,3,1.0,AL,3436
2023,3,1.0,AM,1794
2023,3,1.0,AP,558
2023,3,1.0,BA,11648
2023,3,1.0,CE,7101
2023,3,1.0,DF,6202
2023,3,1.0,ES,3210
2023,3,1.0,GO,7014
2023,3,1.0,MA,3025
2023,3,1.0,MG,16893
2023,3,1.0,MS,2227
2023,3,1.0,MT,2755
2023,3,1.0,PA,6522
2023,3,1.0,PB,4320
2023,3,1.0,PE,8140
2023,3,1.0,PI,3367
2023,3,1.0,PR,11658
2023,3,1.0,RJ,22753
2023,3,1.0,RN,4118
2023,3,1.0,RO,625
2023,3,1.0,RR,259
2023,3,1.0,RS,8851
2023,3,1.0,SC,7382
2023,3,1.0,SE,2542
2023,3,1.0,SP,56755
2023,3,1.0,TO,770
2023,3,2.0,AL,6
2023,3,2.0,AM,10
2023,3,2.0,BA,59
2023,3,2.0,CE,10
2023,3,2.0,DF,6
2023,3,2.0,ES,23
2023,3,2.0,GO,68
2023,3,2.0,MA,59
2023,3,2.0,MG,42
2023,3,2.0,MS,32
2023,3,2.0,MT,19
2023,3,2.0,PA,35
2023,3,2.0,PE,51
2023,3,2.0,PI,10
2023,3,2.0,PR,36
2023,3,2.0,RJ,85
2023,3,2.0,RO,13
2023,3,2.0,RS,20
2023,3,2.0,SC,101
2023,3,2.0,SP,328
2023,3,2.0,TO,14
