NU_ANO,Q025,TP_COR_RACA,SG_UF_PROVA,QTD
2021,A,5,RN,39
2021,A,5,RO,114
2021,A,5,RR,94
2021,A,5,RS,39
2021,A,5,SC,17
2021,A,5,SE,50
2021,A,5,SP,127
2021,A,5,TO,73
2021,A,6,RN,1
2021,B,0,AC,329
2021,B,0,AL,1159
2021,B,0,AM,1360
2021,B,0,AP,308
2021,B,0,BA,5606
2021,B,0,CE,4323
2021,B,0,DF,1638
2021,B,0,ES,930
2021,B,0,GO,4575
2021,B,0,MA,1858
2021,B,0,MG,6277
2021,B,0,MS,695
2021,B,0,MT,1090
2021,B,0,PA,2558
2021,B,0,PB,1796
2021,B,0,PE,4460
2021,B,0,PI,1315
2021,B,0,PR,2456
2021,B,0,RJ,4744
2021,B,0,RN,1258
2021,B,0,RO,627
2021,B,0,RR,159
2021,B,0,RS,2489
2021,B,0,SC,1378
2021,B,0,SE,1042
2021,B,0,SP,6624
2021,B,0,TO,502
2021,B,1,AC,3377
2021,B,1,AL,14575
2021,B,1,AM,12021
2021,B,1,AP,3847
2021,B,1,BA,48641
2021,B,1,CE,49411
2021,B,1,DF,25381
2021,B,1,ES,24664
2021,B,1,GO,46041
2021,B,1,MA,22540
2021,B,1,MG,141219
2021,B,1,MS,18916
2021,B,1,MT,18184
2021,B,1,PA,29099
2021,B,1,PB,31427
2021,B,1,PE,58610
2021,B,1,PI,15095
2021,B,1,PR,95123
2021,B,1,RJ,107123
2021,B,1,RN,30524
2021,B,1,RO,8608
2021,B,1,RR,1660
2021,B,1,RS,113947
2021,B,1,SC,59917
2021,B,1,SE,11009
2021,B,1,SP,300331
2021,B,1,TO,6625
2021,B,2,AC,1589
2021,B,2,AL,5434
2021,B,2,AM,3532
2021,B,2,AP,2237
2021,B,2,BA,63456
2021,B,2,CE,12610
2021,B,2,DF,8310
2021,B,2,ES,8513
2021,B,2,GO,13061
2021,B,2,MA,12942
2021,B,2,MG,38689
2021,B,2,MS,2660
2021,B,2,MT,6267
2021,B,2,PA,16452
2021,B,2,PB,8171
2021,B,2,PE,20463
2021,B,2,PI,8937
2021,B,2,PR,6645
2021,B,2,RJ,37231
2021,B,2,RN,6649
2021,B,2,RO,3146
2021,B,2,RR,555
2021,B,2,RS,9474
2021,B,2,SC,3552
2021,B,2,SE,6885
2021,B,2,SP,46103
2021,B,2,TO,3712
2021,B,3,AC,9090
2021,B,3,AL,27297
2021,B,3,AM,42039
2021,B,3,AP,10362
2021,B,3,BA,114213
2021,B,3,CE,109787
2021,B,3,DF,26850
2021,B,3,ES,25552
2021,B,3,GO,56882
2021,B,3,MA,59173
2021,B,3,MG,116956
2021,B,3,MS,15130
2021,B,3,MT,24031
2021,B,3,PA,84219
2021,B,3,PB,46858
2021,B,3,PE,86016
2021,B,3,PI,38340
2021,B,3,PR,32083
2021,B,3,RJ,70764
2021,B,3,RN,34198
2021,B,3,RO,16413
2021,B,3,RR,4312
2021,B,3,RS,17079
2021,B,3,SC,12801
2021,B,3,SE,25134
2021,B,3,SP,125966
2021,B,3,TO,14596
2021,B,4,AC,437
2021,B,4,AL,1585
2021,B,4,AM,1198
2021,B,4,AP,271
2021,B,4,BA,5345
2021,B,4,CE,2947
2021,B,4,DF,1411
2021,B,4,ES,779
2021,B,4,GO,4304
2021,B,4,MA,1523
2021,B,4,MG,5275
2021,B,4,MS,953
2021,B,4,MT,1169
2021,B,4,PA,2719
2021,B,4,PB,2327
2021,B,4,PE,3970
2021,B,4,PI,1645
2021,B,4,PR,3144
2021,B,4,RJ,2806
2021,B,4,RN,1433
2021,B,4,RO,784
2021,B,4,RR,82
2021,B,4,RS,531
2021,B,4,SC,666
2021,B,4,SE,1221
