NU_ANO,TP_ESCOLA,Q022,SG_UF_PROVA,QTD
2021,2,A,ES,286
2021,2,A,GO,1663
2021,2,A,MA,1108
2021,2,A,MG,1056
2021,2,A,MS,382
2021,2,A,MT,422
2021,2,A,PA,1300
2021,2,A,PB,524
2021,2,A,PE,1664
2021,2,A,PI,376
2021,2,A,PR,634
2021,2,A,RJ,1167
2021,2,A,RN,290
2021,2,A,RO,278
2021,2,A,RR,76
2021,2,A,RS,794
2021,2,A,SC,406
2021,2,A,SE,346
2021,2,A,SP,1701
2021,2,A,TO,295
2021,2,B,AC,915
2021,2,B,AL,2409
2021,2,B,AM,11200
2021,2,B,AP,959
2021,2,B,BA,17141
2021,2,B,CE,36995
2021,2,B,DF,1761
2021,2,B,ES,1939
2021,2,B,GO,9283
2021,2,B,MA,8060
2021,2,B,MG,7840
2021,2,B,MS,1652
2021,2,B,MT,1943
2021,2,B,PA,9878
2021,2,B,PB,5049
2021,2,B,PE,11227
2021,2,B,PI,4181
2021,2,B,PR,3971
2021,2,B,RJ,7052
2021,2,B,RN,2679
2021,2,B,RO,1508
2021,2,B,RR,304
2021,2,B,RS,4217
2021,2,B,SC,2223
2021,2,B,SE,2798
2021,2,B,SP,10541
2021,2,B,TO,1698
2021,2,C,AC,1355
2021,2,C,AL,3609
2021,2,C,AM,11092
2021,2,C,AP,1313
2021,2,C,BA,24671
2021,2,C,CE,34228
2021,2,C,DF,3363
2021,2,C,ES,4911
2021,2,C,GO,15673
2021,2,C,MA,9673
2021,2,C,MG,19630
2021,2,C,MS,3320
2021,2,C,MT,3771
2021,2,C,PA,11447
2021,2,C,PB,7637
2021,2,C,PE,16771
2021,2,C,PI,5646
2021,2,C,PR,10569
2021,2,C,RJ,13298
2021,2,C,RN,4996
2021,2,C,RO,2980
2021,2,C,RR,568
2021,2,C,RS,10985
2021,2,C,SC,6351
2021,2,C,SE,3877
2021,2,C,SP,27571
2021,2,C,TO,2594
2021,2,D,AC,1382
2021,2,D,AL,3220
2021,2,D,AM,8851
2021,2,D,AP,1150
2021,2,D,BA,21550
2021,2,D,CE,18184
2021,2,D,DF,5261
2021,2,D,ES,7502
2021,2,D,GO,17306
2021,2,D,MA,7783
2021,2,D,MG,29093
2021,2,D,MS,4838
2021,2,D,MT,5524
2021,2,D,PA,9000
2021,2,D,PB,5767
2021,2,D,PE,14446
2021,2,D,PI,4512
2021,2,D,PR,18511
2021,2,D,RJ,17331
2021,2,D,RN,5217
2021,2,D,RO,3428
2021,2,D,RR,694
2021,2,D,RS,16168
2021,2,D,SC,11686
2021,2,D,SE,2942
2021,2,D,SP,50198
2021,2,D,TO,3103
2021,2,E,AC,861
2021,2,E,AL,1766
2021,2,E,AM,6806
2021,2,E,AP,813
2021,2,E,BA,11205
2021,2,E,CE,8725
2021,2,E,DF,5207
2021,2,E,ES,5561
2021,2,E,GO,13146
2021,2,E,MA,4566
2021,2,E,MG,23346
2021,2,E,MS,3353
2021,2,E,MT,4034
2021,2,E,PA,5282
2021,2,E,PB,3074
2021,2,E,PE,8493
2021,2,E,PI,2642
2021,2,E,PR,14287
2021,2,E,RJ,12451
2021,2,E,RN,3023
2021,2,E,RO,2289
2021,2,E,RR,626
2021,2,E,RS,9868
2021,2,E,SC,8391
2021,2,E,SE,1374
2021,2,E,SP,43337
2021,2,E,TO,2123
