NU_ANO,TP_FAIXA_ETARIA,Q022,SG_UF_PROVA,QTD
2019,5,C,PI,3622
2019,5,C,PR,3948
2019,5,C,RJ,8772
2019,5,C,RN,3780
2019,5,C,RO,1453
2019,5,C,RR,312
2019,5,C,RS,5864
2019,5,C,SC,1893
2019,5,C,SE,2625
2019,5,C,SP,14112
2019,5,C,TO,1304
2019,5,D,AC,757
2019,5,D,AL,1809
2019,5,D,AM,2270
2019,5,D,AP,763
2019,5,D,BA,9474
2019,5,D,CE,4925
2019,5,D,DF,2419
2019,5,D,ES,2952
2019,5,D,GO,3680
2019,5,D,MA,4149
2019,5,D,MG,14919
2019,5,D,MS,1362
2019,5,D,MT,1768
2019,5,D,PA,4987
2019,5,D,PB,3006
2019,5,D,PE,5883
2019,5,D,PI,2394
2019,5,D,PR,4704
2019,5,D,RJ,9508
2019,5,D,RN,3111
2019,5,D,RO,1151
2019,5,D,RR,277
2019,5,D,RS,6358
2019,5,D,SC,2220
2019,5,D,SE,1727
2019,5,D,SP,17691
2019,5,D,TO,1096
2019,5,E,AC,342
2019,5,E,AL,1011
2019,5,E,AM,1372
2019,5,E,AP,368
2019,5,E,BA,4534
2019,5,E,CE,2728
2019,5,E,DF,2117
2019,5,E,ES,1932
2019,5,E,GO,2474
2019,5,E,MA,2074
2019,5,E,MG,10181
2019,5,E,MS,783
2019,5,E,MT,1128
2019,5,E,PA,2653
2019,5,E,PB,1597
2019,5,E,PE,3482
2019,5,E,PI,1273
2019,5,E,PR,3184
2019,5,E,RJ,6300
2019,5,E,RN,1663
2019,5,E,RO,661
2019,5,E,RR,209
2019,5,E,RS,3427
2019,5,E,SC,1340
2019,5,E,SE,855
2019,5,E,SP,13411
2019,5,E,TO,637
2019,6,A,AC,121
2019,6,A,AL,173
2019,6,A,AM,304
2019,6,A,AP,118
2019,6,A,BA,766
2019,6,A,CE,539
2019,6,A,DF,123
2019,6,A,ES,106
2019,6,A,GO,156
2019,6,A,MA,555
2019,6,A,MG,434
2019,6,A,MS,90
2019,6,A,MT,102
2019,6,A,PA,754
2019,6,A,PB,209
2019,6,A,PE,383
2019,6,A,PI,256
2019,6,A,PR,147
2019,6,A,RJ,367
2019,6,A,RN,163
2019,6,A,RO,92
2019,6,A,RR,24
2019,6,A,RS,242
2019,6,A,SC,57
2019,6,A,SE,91
2019,6,A,SP,655
2019,6,A,TO,76
2019,6,B,AC,796
2019,6,B,AL,1619
2019,6,B,AM,2003
2019,6,B,AP,790
2019,6,B,BA,6869
2019,6,B,CE,4280
2019,6,B,DF,1006
2019,6,B,ES,989
2019,6,B,GO,1593
2019,6,B,MA,4320
2019,6,B,MG,4659
2019,6,B,MS,872
2019,6,B,MT,1010
2019,6,B,PA,5920
2019,6,B,PB,2428
2019,6,B,PE,3434
2019,6,B,PI,2383
2019,6,B,PR,1683
2019,6,B,RJ,3497
2019,6,B,RN,1783
2019,6,B,RO,852
2019,6,B,RR,185
2019,6,B,RS,2355
2019,6,B,SC,910
2019,6,B,SE,1324
2019,6,B,SP,5682
2019,6,B,TO,728
2019,6,C,AC,904
2019,6,C,AL,2150
2019,6,C,AM,2519
2019,6,C,AP,920
2019,6,C,BA,9064
2019,6,C,CE,5059
2019,6,C,DF,1644
2019,6,C,ES,1826
2019,6,C,GO,2665
2019,6,C,MA,4716
2019,6,C,MG,9244
2019,6,C,MS,1176
2019,6,C,MT,1411
2019,6,C,PA,5952
2019,6,C,PB,3351
2019,6,C,PE,5207
2019,6,C,PI,2733
2019,6,C,PR,3057
2019,6,C,RJ,6045
2019,6,C,RN,2856
2019,6,C,RO,1219
2019,6,C,RR,252
2019,6,C,RS,4348
2019,6,C,SC,1406
2019,6,C,SE,1945
2019,6,C,SP,10398
2019,6,C,TO,941
2019,6,D,AC,613
2019,6,D,AL,1356
2019,6,D,AM,1729
2019,6,D,AP,582
2019,6,D,BA,6468
2019,6,D,CE,3212
2019,6,D,DF,1660
2019,6,D,ES,1937
2019,6,D,GO,2424
2019,6,D,MA,2885
2019,6,D,MG,10044
2019,6,D,MS,973
2019,6,D,MT,1182
2019,6,D,PA,3538
2019,6,D,PB,2089
2019,6,D,PE,4068
2019,6,D,PI,1751
2019,6,D,PR,3096
2019,6,D,RJ,5972
2019,6,D,RN,2138
2019,6,D,RO,834
2019,6,D,RR,194
2019,6,D,RS,4133
2019,6,D,SC,1376
2019,6,D,SE,1221
2019,6,D,SP,11765
2019,6,D,TO,694
2019,6,E,AC,221
2019,6,E,AL,749
2019,6,E,AM,1009
2019,6,E,AP,309
2019,6,E,BA,3192
2019,6,E,CE,1818
2019,6,E,DF,1459
2019,6,E,ES,1254
2019,6,E,GO,1598
2019,6,E,MA,1412
2019,6,E,MG,6843
2019,6,E,MS,499
2019,6,E,MT,701
2019,6,E,PA,1925
2019,6,E,PB,1182
2019,6,E,PE,2338
2019,6,E,PI,908
2019,6,E,PR,2096
2019,6,E,RJ,4015
2019,6,E,RN,1252
2019,6,E,RO,465
2019,6,E,RR,119
2019,6,E,RS,2209
2019,6,E,SC,872
2019,6,E,SE,619
2019,6,E,SP,8846
2019,6,E,TO,382
2019,6,A,AC,69
2019,6,A,AL,104
2019,6,A,AM,257
2019,6,A,AP,92
2019,6,A,BA,558
2019,6,A,CE,356
2019,6,A,DF,113
2019,6,A,ES,81
2019,6,A,GO,98
2019,6,A,MA,404
2019,6,A,MG,386
2019,6,A,MS,89
2019,6,A,MT,80
2019,6,A,PA,570
2019,6,A,PB,147
2019,6,A,PE,273
2019,6,A,PI,156
2019,6,A,PR,94
2019,6,A,RJ,312
2019,6,A,RN,117
2019,6,A,RO,59
2019,6,A,RR,22
2019,6,A,RS,167
2019,6,A,SC,56
2019,6,A,SE,75
2019,6,A,SP,458
2019,6,A,TO,52
2019,6,B,AC,739
2019,6,B,AL,1405
2019,6,B,AM,1597
