NU_ANO,TP_SEXO,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2022,M,2,PA,4302
2022,M,2,PB,2798
2022,M,2,PE,4007
2022,M,2,PI,1536
2022,M,2,PR,2459
2022,M,2,RJ,4959
2022,M,2,RN,2746
2022,M,2,RO,909
2022,M,2,RR,161
2022,M,2,RS,2386
2022,M,2,SC,1057
2022,M,2,SE,1065
2022,M,2,SP,7630
2022,M,2,TO,407
2022,M,3,AC,194
2022,M,3,AL,373
2022,M,3,AM,457
2022,M,3,AP,118
2022,M,3,BA,1206
2022,M,3,CE,991
2022,M,3,DF,566
2022,M,3,ES,425
2022,M,3,GO,913
2022,M,3,MA,671
2022,M,3,MG,1813
2022,M,3,MS,313
2022,M,3,MT,399
2022,M,3,PA,903
2022,M,3,PB,642
2022,M,3,PE,1090
2022,M,3,PI,394
2022,M,3,PR,859
2022,M,3,RJ,1483
2022,M,3,RN,575
2022,M,3,RO,225
2022,M,3,RR,66
2022,M,3,RS,911
2022,M,3,SC,468
2022,M,3,SE,349
2022,M,3,SP,2949
2022,M,3,TO,159
2022,M,4,AC,9
2022,M,4,AL,13
2022,M,4,AM,31
2022,M,4,AP,4
2022,M,4,BA,49
2022,M,4,CE,47
2022,M,4,DF,10
2022,M,4,ES,9
2022,M,4,GO,28
2022,M,4,MA,19
2022,M,4,MG,55
2022,M,4,MS,11
2022,M,4,MT,14
2022,M,4,PA,57
2022,M,4,PB,23
2022,M,4,PE,47
2022,M,4,PI,15
2022,M,4,PR,26
2022,M,4,RJ,69
2022,M,4,RN,20
2022,M,4,RO,12
2022,M,4,RR,1
2022,M,4,RS,22
2022,M,4,SC,10
2022,M,4,SE,3
2022,M,4,SP,108
2022,M,4,TO,5
2023,F,0,AC,846
2023,F,0,AL,2093
2023,F,0,AM,2552
2023,F,0,AP,951
2023,F,0,BA,9947
2023,F,0,CE,6567
