NU_ANO,TP_FAIXA_ETARIA,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2019,6,4,BA,1
2019,6,4,CE,5
2019,6,4,DF,1
2019,6,4,ES,2
2019,6,4,GO,3
2019,6,4,MA,5
2019,6,4,MG,8
2019,6,4,MS,2
2019,6,4,MT,1
2019,6,4,PA,1
2019,6,4,PB,2
2019,6,4,PE,2
2019,6,4,PI,3
2019,6,4,PR,4
2019,6,4,RJ,5
2019,6,4,RN,1
2019,6,4,RS,4
2019,6,4,SE,1
2019,6,4,SP,10
2019,6,0,AC,120
2019,6,0,AL,133
2019,6,0,AM,238
2019,6,0,AP,97
2019,6,0,BA,629
2019,6,0,CE,409
2019,6,0,DF,171
2019,6,0,ES,132
2019,6,0,GO,228
2019,6,0,MA,307
2019,6,0,MG,583
2019,6,0,MS,158
2019,6,0,MT,181
2019,6,0,PA,630
2019,6,0,PB,260
2019,6,0,PE,322
2019,6,0,PI,203
2019,6,0,PR,403
2019,6,0,RJ,339
2019,6,0,RN,199
2019,6,0,RO,162
2019,6,0,RR,20
2019,6,0,RS,487
2019,6,0,SC,219
2019,6,0,SE,117
2019,6,0,SP,958
2019,6,0,TO,99
2019,6,1,AC,1980
2019,6,1,AL,4283
2019,6,1,AM,5632
2019,6,1,AP,2070
2019,6,1,BA,19506
2019,6,1,CE,10573
2019,6,1,DF,4049
2019,6,1,ES,4324
2019,6,1,GO,5852
2019,6,1,MA,10263
2019,6,1,MG,23415
2019,6,1,MS,2621
2019,6,1,MT,3180
2019,6,1,PA,13490
2019,6,1,PB,7002
2019,6,1,PE,11309
2019,6,1,PI,5587
2019,6,1,PR,7434
2019,6,1,RJ,15158
2019,6,1,RN,6100
2019,6,1,RO,2435
2019,6,1,RR,610
2019,6,1,RS,9654
2019,6,1,SC,3238
2019,6,1,SE,3930
2019,6,1,SP,27027
2019,6,1,TO,1955
2019,6,2,AC,180
2019,6,2,AL,374
2019,6,2,AM,230
2019,6,2,AP,60
2019,6,2,BA,950
2019,6,2,CE,461
2019,6,2,DF,213
2019,6,2,ES,295
2019,6,2,GO,460
2019,6,2,MA,457
2019,6,2,MG,1044
2019,6,2,MS,194
2019,6,2,MT,263
2019,6,2,PA,632
2019,6,2,PB,408
2019,6,2,PE,576
2019,6,2,PI,268
2019,6,2,PR,462
2019,6,2,RJ,582
2019,6,2,RN,313
2019,6,2,RO,305
2019,6,2,RR,27
2019,6,2,RS,361
2019,6,2,SC,164
2019,6,2,SE,147
2019,6,2,SP,1359
2019,6,2,TO,154
2019,6,3,AC,20
2019,6,3,AL,50
2019,6,3,AM,39
2019,6,3,AP,11
2019,6,3,BA,115
2019,6,3,CE,71
2019,6,3,DF,34
2019,6,3,ES,34
2019,6,3,GO,56
2019,6,3,MA,82
2019,6,3,MG,126
2019,6,3,MS,37
2019,6,3,MT,34
2019,6,3,PA,88
2019,6,3,PB,54
2019,6,3,PE,63
2019,6,3,PI,39
2019,6,3,PR,65
2019,6,3,RJ,92
2019,6,3,RN,33
2019,6,3,RO,42
2019,6,3,RR,9
2019,6,3,RS,69
2019,6,3,SC,27
2019,6,3,SE,25
2019,6,3,SP,229
2019,6,3,TO,19
2019,6,4,AM,1
2019,6,4,BA,3
2019,6,4,CE,4
2019,6,4,DF,5
2019,6,4,ES,1
2019,6,4,GO,1
2019,6,4,MA,3
2019,6,4,MG,8
2019,6,4,MS,2
2019,6,4,MT,1
2019,6,4,PA,1
2019,6,4,PB,1
2019,6,4,PE,3
2019,6,4,PR,3
2019,6,4,RJ,2
2019,6,4,RN,2
2019,6,4,RO,1
2019,6,4,RR,1
2019,6,4,RS,2
2019,6,4,SC,1
2019,6,4,SP,4
2019,6,4,TO,1
2019,6,0,AC,121
2019,6,0,AL,147
2019,6,0,AM,267
2019,6,0,AP,120
2019,6,0,BA,625
2019,6,0,CE,350
2019,6,0,DF,166
2019,6,0,ES,132
2019,6,0,GO,246
2019,6,0,MA,279
2019,6,0,MG,593
2019,6,0,MS,169
2019,6,0,MT,173
2019,6,0,PA,596
2019,6,0,PB,211
2019,6,0,PE,271
2019,6,0,PI,213
2019,6,0,PR,380
2019,6,0,RJ,392
2019,6,0,RN,200
2019,6,0,RO,149
2019,6,0,RR,30
2019,6,0,RS,530
2019,6,0,SC,213
2019,6,0,SE,136
2019,6,0,SP,975
2019,6,0,TO,87
2019,6,1,AC,1532
2019,6,1,AL,3376
2019,6,1,AM,4661
2019,6,1,AP,1797
2019,6,1,BA,14937
2019,6,1,CE,8108
2019,6,1,DF,3065
2019,6,1,ES,3211
2019,6,1,GO,4523
2019,6,1,MA,8149
2019,6,1,MG,17871
2019,6,1,MS,2015
2019,6,1,MT,2589
2019,6,1,PA,11206
2019,6,1,PB,5422
2019,6,1,PE,8779
2019,6,1,PI,4333
2019,6,1,PR,5677
2019,6,1,RJ,11319
2019,6,1,RN,4796
2019,6,1,RO,1966
2019,6,1,RR,431
2019,6,1,RS,7582
2019,6,1,SC,2512
2019,6,1,SE,2960
2019,6,1,SP,20733
2019,6,1,TO,1530
2019,6,2,AC,187
2019,6,2,AL,379
2019,6,2,AM,301
2019,6,2,AP,75
2019,6,2,BA,1076
2019,6,2,CE,566
2019,6,2,DF,278
2019,6,2,ES,319
2019,6,2,GO,537
2019,6,2,MA,541
2019,6,2,MG,1191
2019,6,2,MS,268
2019,6,2,MT,276
2019,6,2,PA,766
2019,6,2,PB,509
2019,6,2,PE,731
2019,6,2,PI,318
2019,6,2,PR,546
2019,6,2,RJ,689
2019,6,2,RN,367
2019,6,2,RO,417
2019,6,2,RR,38
2019,6,2,RS,409
2019,6,2,SC,211
2019,6,2,SE,171
2019,6,2,SP,1590
2019,6,2,TO,155
2019,6,3,AC,22
2019,6,3,AL,51
2019,6,3,AM,41
2019,6,3,AP,13
2019,6,3,BA,119
2019,6,3,CE,74
2019,6,3,DF,48
2019,6,3,ES,39
2019,6,3,GO,75
2019,6,3,MA,85
2019,6,3,MG,182
2019,6,3,MS,31
2019,6,3,MT,51
2019,6,3,PA,84
2019,6,3,PB,69
2019,6,3,PE,92
2019,6,3,PI,45
2019,6,3,PR,90
2019,6,3,RJ,97
2019,6,3,RN,38
2019,6,3,RO,51
2019,6,3,RR,12
2019,6,3,RS,84
2019,6,3,SC,27
2019,6,3,SE,31
2019,6,3,SP,279
2019,6,3,TO,18
2019,6,4,AC,1
2019,6,4,AL,1
2019,6,4,AM,1
2019,6,4,BA,5
2019,6,4,CE,1
2019,6,4,DF,2
2019,6,4,ES,2
2019,6,4,GO,4
2019,6,4,MA,6
2019,6,4,MG,11
2019,6,4,MS,2
2019,6,4,MT,2
2019,6,4,PA,1
2019,6,4,PB,2
2019,6,4,PE,1
2019,6,4,PI,4
2019,6,4,PR,2
2019,6,4,RJ,2
2019,6,4,RO,1
2019,6,4,RS,5
2019,6,4,SC,3
2019,6,4,SP,9
2019,6,4,TO,1
2019,6,0,AC,115
2019,6,0,AL,142
2019,6,0,AM,313
2019,6,0,AP,110
2019,6,0,BA,553
2019,6,0,CE,358
2019,6,0,DF,141
2019,6,0,ES,145
2019,6,0,GO,250
2019,6,0,MA,241
2019,6,0,MG,556
2019,6,0,MS,148
2019,6,0,MT,193
2019,6,0,PA,681
2019,6,0,PB,208
2019,6,0,PE,314
2019,6,0,PI,196
2019,6,0,PR,417
2019,6,0,RJ,357
2019,6,0,RN,246
2019,6,0,RO,128
2019,6,0,RR,24
2019,6,0,RS,531
2019,6,0,SC,252
2019,6,0,SE,109
2019,6,0,SP,961
2019,6,0,TO,95
2019,6,1,AC,1251
2019,6,1,AL,2781
2019,6,1,AM,3716
2019,6,1,AP,1433
2019,6,1,BA,11939
2019,6,1,CE,6336
2019,6,1,DF,2596
2019,6,1,ES,2628
2019,6,1,GO,3726
2019,6,1,MA,6426
2019,6,1,MG,14203
2019,6,1,MS,1714
2019,6,1,MT,2092
2019,6,1,PA,8812
2019,6,1,PB,4543
2019,6,1,PE,7086
2019,6,1,PI,3363
2019,6,1,PR,4574
2019,6,1,RJ,8774
2019,6,1,RN,4162
2019,6,1,RO,1570
2019,6,1,RR,368
2019,6,1,RS,6045
2019,6,1,SC,2201
2019,6,1,SE,2432
2019,6,1,SP,15805
2019,6,1,TO,1186
2019,6,2,AC,245
2019,6,2,AL,446
2019,6,2,AM,342
2019,6,2,AP,89
2019,6,2,BA,1233
2019,6,2,CE,620
2019,6,2,DF,327
2019,6,2,ES,392
2019,6,2,GO,563
2019,6,2,MA,600
2019,6,2,MG,1402
2019,6,2,MS,284
2019,6,2,MT,304
2019,6,2,PA,791
2019,6,2,PB,620
2019,6,2,PE,824
2019,6,2,PI,350
2019,6,2,PR,612
2019,6,2,RJ,916
2019,6,2,RN,435
2019,6,2,RO,395
2019,6,2,RR,51
2019,6,2,RS,466
2019,6,2,SC,226
2019,6,2,SE,229
2019,6,2,SP,1847
2019,6,2,TO,161
2019,6,3,AC,30
2019,6,3,AL,46
2019,6,3,AM,34
2019,6,3,AP,13
2019,6,3,BA,122
