NU_ANO,TP_ESTADO_CIVIL,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,1,6,AM,5632
2019,1,6,AP,2070
2019,1,6,BA,19506
2019,1,6,CE,10573
2019,1,6,DF,4049
2019,1,6,ES,4324
2019,1,6,GO,5852
2019,1,6,MA,10263
2019,1,6,MG,23415
2019,1,6,MS,2621
2019,1,6,MT,3180
2019,1,6,PA,13490
2019,1,6,PB,7002
2019,1,6,PE,11309
2019,1,6,PI,5587
2019,1,6,PR,7434
2019,1,6,RJ,15158
2019,1,6,RN,6100
2019,1,6,RO,2435
2019,1,6,RR,610
2019,1,6,RS,9654
2019,1,6,SC,3238
2019,1,6,SE,3930
2019,1,6,SP,27027
2019,1,6,TO,1955
2019,1,6,AC,1532
2019,1,6,AL,3376
2019,1,6,AM,4661
2019,1,6,AP,1797
2019,1,6,BA,14937
2019,1,6,CE,8108
2019,1,6,DF,3065
2019,1,6,ES,3211
2019,1,6,GO,4523
2019,1,6,MA,8149
2019,1,6,MG,17871
2019,1,6,MS,2015
2019,1,6,MT,2589
2019,1,6,PA,11206
2019,1,6,PB,5422
2019,1,6,PE,8779
2019,1,6,PI,4333
2019,1,6,PR,5677
2019,1,6,RJ,11319
2019,1,6,RN,4796
2019,1,6,RO,1966
2019,1,6,RR,431
2019,1,6,RS,7582
2019,1,6,SC,2512
2019,1,6,SE,2960
2019,1,6,SP,20733
2019,1,6,TO,1530
2019,1,6,AC,1251
2019,1,6,AL,2781
2019,1,6,AM,3716
2019,1,6,AP,1433
2019,1,6,BA,11939
2019,1,6,CE,6336
2019,1,6,DF,2596
2019,1,6,ES,2628
2019,1,6,GO,3726
2019,1,6,MA,6426
2019,1,6,MG,14203
2019,1,6,MS,1714
2019,1,6,MT,2092
2019,1,6,PA,8812
2019,1,6,PB,4543
2019,1,6,PE,7086
2019,1,6,PI,3363
2019,1,6,PR,4574
2019,1,6,RJ,8774
2019,1,6,RN,4162
2019,1,6,RO,1570
2019,1,6,RR,368
2019,1,6,RS,6045
2019,1,6,SC,2201
2019,1,6,SE,2432
2019,1,6,SP,15805
2019,1,6,TO,1186
2019,1,6,AC,983
2019,1,6,AL,2164
2019,1,6,AM,3139
2019,1,6,AP,1236
2019,1,6,BA,9386
2019,1,6,CE,4841
2019,1,6,DF,2043
2019,1,6,ES,1975
2019,1,6,GO,2836
2019,1,6,MA,4824
2019,1,6,MG,11105
2019,1,6,MS,1368
2019,1,6,MT,1640
2019,1,6,PA,7464
2019,1,6,PB,3534
2019,1,6,PE,5302
2019,1,6,PI,2520
2019,1,6,PR,3553
2019,1,6,RJ,6775
2019,1,6,RN,3247
2019,1,6,RO,1344
2019,1,6,RR,293
2019,1,6,RS,4942
2019,1,6,SC,1613
2019,1,6,SE,2023
2019,1,6,SP,12124
2019,1,6,TO,909
2019,1,6,AC,2849
2019,1,6,AL,5613
