NU_ANO,TP_LOCALIZACAO_ESC,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2021,2.0,2,AP,1
2021,2.0,2,BA,35
2021,2.0,2,CE,91
2021,2.0,2,DF,2
2021,2.0,2,ES,6
2021,2.0,2,GO,30
2021,2.0,2,MA,13
2021,2.0,2,MG,11
2021,2.0,2,MS,6
2021,2.0,2,MT,9
2021,2.0,2,PA,15
2021,2.0,2,PB,22
2021,2.0,2,PE,27
2021,2.0,2,PI,7
2021,2.0,2,PR,11
2021,2.0,2,RJ,18
2021,2.0,2,RN,4
2021,2.0,2,RO,13
2021,2.0,2,RS,6
2021,2.0,2,SC,6
2021,2.0,2,SE,5
2021,2.0,2,SP,7
2021,2.0,2,TO,15
2021,2.0,3,AC,2
2021,2.0,3,AL,1
2021,2.0,3,AM,5
2021,2.0,3,BA,11
2021,2.0,3,CE,23
2021,2.0,3,DF,5
2021,2.0,3,ES,2
2021,2.0,3,GO,8
2021,2.0,3,MA,8
2021,2.0,3,MG,10
2021,2.0,3,MS,4
2021,2.0,3,MT,6
2021,2.0,3,PA,2
2021,2.0,3,PB,6
2021,2.0,3,PE,11
2021,2.0,3,PI,3
2021,2.0,3,PR,6
2021,2.0,3,RJ,10
2021,2.0,3,RN,2
2021,2.0,3,RO,1
2021,2.0,3,RR,1
2021,2.0,3,RS,3
2021,2.0,3,SC,5
2021,2.0,3,SE,1
2021,2.0,3,SP,4
2021,2.0,3,TO,5
2021,2.0,4,AC,1
2021,2.0,4,AL,1
2021,2.0,4,AM,3
2021,2.0,4,CE,1
2021,2.0,4,MA,1
2021,2.0,4,MT,1
2021,2.0,4,PB,2
2021,2.0,4,RS,1
2021,2.0,4,TO,1
2022,1.0,0,AC,192
2022,1.0,0,AL,514
2022,1.0,0,AM,1115
2022,1.0,0,AP,134
2022,1.0,0,BA,1375
2022,1.0,0,CE,4647
2022,1.0,0,DF,465
2022,1.0,0,ES,511
2022,1.0,0,GO,2091
2022,1.0,0,MA,963
2022,1.0,0,MG,1566
2022,1.0,0,MS,438
2022,1.0,0,MT,551
2022,1.0,0,PA,1247
2022,1.0,0,PB,662
2022,1.0,0,PE,1271
2022,1.0,0,PI,552
2022,1.0,0,PR,1636
2022,1.0,0,RJ,1455
2022,1.0,0,RN,435
2022,1.0,0,RO,416
2022,1.0,0,RR,64
2022,1.0,0,RS,1166
2022,1.0,0,SC,967
2022,1.0,0,SE,378
2022,1.0,0,SP,4877
2022,1.0,0,TO,254
2022,1.0,1,AC,3754
2022,1.0,1,AL,13817
2022,1.0,1,AM,24228
2022,1.0,1,AP,3510
2022,1.0,1,BA,40135
2022,1.0,1,CE,90748
2022,1.0,1,DF,18168
2022,1.0,1,ES,18237
2022,1.0,1,GO,42936
2022,1.0,1,MA,23746
2022,1.0,1,MG,64031
2022,1.0,1,MS,11779
2022,1.0,1,MT,14972
2022,1.0,1,PA,31153
2022,1.0,1,PB,19280
2022,1.0,1,PE,40266
2022,1.0,1,PI,14893
2022,1.0,1,PR,46220
2022,1.0,1,RJ,64349
2022,1.0,1,RN,15900
2022,1.0,1,RO,8335
