NU_ANO,TP_ESTADO_CIVIL,TP_COR_RACA,SG_UF_PROVA,QTD
2019,2,5,SE,32
2019,2,5,SP,194
2019,2,5,TO,20
2019,3,0,AC,21
2019,3,0,AL,43
2019,3,0,AM,28
2019,3,0,AP,6
2019,3,0,BA,116
2019,3,0,CE,65
2019,3,0,DF,68
2019,3,0,ES,43
2019,3,0,GO,86
2019,3,0,MA,60
2019,3,0,MG,199
2019,3,0,MS,24
2019,3,0,MT,28
2019,3,0,PA,55
2019,3,0,PB,54
2019,3,0,PE,97
2019,3,0,PI,22
2019,3,0,PR,59
2019,3,0,RJ,137
2019,3,0,RN,46
2019,3,0,RO,16
2019,3,0,RR,1
2019,3,0,RS,72
2019,3,0,SC,29
2019,3,0,SE,25
2019,3,0,SP,210
2019,3,0,TO,6
2019,3,1,AC,132
2019,3,1,AL,384
2019,3,1,AM,307
2019,3,1,AP,115
2019,3,1,BA,845
2019,3,1,CE,804
2019,3,1,DF,630
2019,3,1,ES,670
2019,3,1,GO,1018
2019,3,1,MA,584
2019,3,1,MG,3325
2019,3,1,MS,658
2019,3,1,MT,570
2019,3,1,PA,603
2019,3,1,PB,841
2019,3,1,PE,1249
2019,3,1,PI,302
2019,3,1,PR,2175
2019,3,1,RJ,2489
2019,3,1,RN,787
2019,3,1,RO,376
2019,3,1,RR,50
2019,3,1,RS,3200
2019,3,1,SC,1095
2019,3,1,SE,210
2019,3,1,SP,7144
2019,3,1,TO,147
2019,3,2,AC,90
2019,3,2,AL,205
2019,3,2,AM,138
2019,3,2,AP,78
2019,3,2,BA,1688
2019,3,2,CE,308
2019,3,2,DF,314
2019,3,2,ES,340
2019,3,2,GO,351
2019,3,2,MA,515
2019,3,2,MG,1548
2019,3,2,MS,170
2019,3,2,MT,266
2019,3,2,PA,486
2019,3,2,PB,275
2019,3,2,PE,561
2019,3,2,PI,264
2019,3,2,PR,220
2019,3,2,RJ,1243
2019,3,2,RN,213
2019,3,2,RO,191
2019,3,2,RR,20
2019,3,2,RS,376
2019,3,2,SC,105
2019,3,2,SE,224
2019,3,2,SP,1686
2019,3,2,TO,110
2019,3,3,AC,648
2019,3,3,AL,1056
2019,3,3,AM,1407
2019,3,3,AP,427
2019,3,3,BA,3133
2019,3,3,CE,2070
2019,3,3,DF,1074
2019,3,3,ES,1113
2019,3,3,GO,1646
2019,3,3,MA,1818
2019,3,3,MG,4296
2019,3,3,MS,792
2019,3,3,MT,997
2019,3,3,PA,2698
2019,3,3,PB,1648
2019,3,3,PE,2443
2019,3,3,PI,1100
2019,3,3,PR,1031
2019,3,3,RJ,2509
2019,3,3,RN,1032
2019,3,3,RO,965
2019,3,3,RR,190
2019,3,3,RS,565
2019,3,3,SC,333
2019,3,3,SE,825
2019,3,3,SP,4704
2019,3,3,TO,441
2019,3,4,AC,23
2019,3,4,AL,58
2019,3,4,AM,42
2019,3,4,AP,7
2019,3,4,BA,140
2019,3,4,CE,97
2019,3,4,DF,63
2019,3,4,ES,43
2019,3,4,GO,142
2019,3,4,MA,74
2019,3,4,MG,233
2019,3,4,MS,31
2019,3,4,MT,49
2019,3,4,PA,102
2019,3,4,PB,96
2019,3,4,PE,121
2019,3,4,PI,52
2019,3,4,PR,89
2019,3,4,RJ,125
2019,3,4,RN,48
2019,3,4,RO,59
2019,3,4,RR,1
2019,3,4,RS,20
2019,3,4,SC,19
2019,3,4,SE,41
2019,3,4,SP,277
2019,3,4,TO,24
2019,3,5,AC,10
2019,3,5,AL,18
2019,3,5,AM,27
2019,3,5,AP,6
2019,3,5,BA,47
