NU_ANO,Q024,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2020,A,3,BA,5004
2020,A,3,CE,3032
2020,A,3,DF,1329
2020,A,3,ES,1534
2020,A,3,GO,2820
2020,A,3,MA,2745
2020,A,3,MG,6068
2020,A,3,MS,1520
2020,A,3,MT,1392
2020,A,3,PA,4107
2020,A,3,PB,2304
2020,A,3,PE,3875
2020,A,3,PI,1619
2020,A,3,PR,2400
2020,A,3,RJ,4667
2020,A,3,RN,1617
2020,A,3,RO,1437
2020,A,3,RR,231
2020,A,3,RS,2848
2020,A,3,SC,1057
2020,A,3,SE,1095
2020,A,3,SP,9890
2020,A,3,TO,744
2020,A,4,AC,39
2020,A,4,AL,130
2020,A,4,AM,138
2020,A,4,AP,33
2020,A,4,BA,364
2020,A,4,CE,226
2020,A,4,DF,75
2020,A,4,ES,73
2020,A,4,GO,161
2020,A,4,MA,189
2020,A,4,MG,375
2020,A,4,MS,77
2020,A,4,MT,90
2020,A,4,PA,334
2020,A,4,PB,168
2020,A,4,PE,272
2020,A,4,PI,122
2020,A,4,PR,134
2020,A,4,RJ,411
2020,A,4,RN,100
2020,A,4,RO,77
2020,A,4,RR,15
2020,A,4,RS,182
2020,A,4,SC,53
2020,A,4,SE,65
2020,A,4,SP,532
2020,A,4,TO,46
2020,B,0,AC,698
2020,B,0,AL,1206
2020,B,0,AM,2597
2020,B,0,AP,926
2020,B,0,BA,7304
2020,B,0,CE,3801
2020,B,0,DF,2238
2020,B,0,ES,1777
2020,B,0,GO,3468
2020,B,0,MA,2599
2020,B,0,MG,9022
2020,B,0,MS,1785
2020,B,0,MT,2281
2020,B,0,PA,5352
2020,B,0,PB,2373
2020,B,0,PE,4047
2020,B,0,PI,1732
2020,B,0,PR,5747
2020,B,0,RJ,6583
2020,B,0,RN,2458
2020,B,0,RO,1513
2020,B,0,RR,379
2020,B,0,RS,7480
2020,B,0,SC,3602
2020,B,0,SE,1332
2020,B,0,SP,16302
2020,B,0,TO,824
2020,B,1,AC,8298
2020,B,1,AL,25200
2020,B,1,AM,35456
2020,B,1,AP,9206
2020,B,1,BA,129491
2020,B,1,CE,74389
2020,B,1,DF,41556
2020,B,1,ES,40149
2020,B,1,GO,73510
2020,B,1,MA,46523
2020,B,1,MG,239195
2020,B,1,MS,26858
2020,B,1,MT,33711
2020,B,1,PA,62880
2020,B,1,PB,44931
2020,B,1,PE,88405
2020,B,1,PI,31630
2020,B,1,PR,96394
2020,B,1,RJ,146493
2020,B,1,RN,39862
2020,B,1,RO,19685
2020,B,1,RR,4652
2020,B,1,RS,101568
2020,B,1,SC,50636
2020,B,1,SE,22016
