SG_UF_PROVA,NO_MUNICIPIO_PROVA,PRESENCA,NU_ANO
GO,Pires do Rio,0.8079056865464632,2019
GO,Planaltina,0.6618887015177066,2019
GO,Porangatu,0.7651331719128329,2019
GO,Posse,0.7424242424242424,2019
GO,Quirinópolis,0.7694633408919124,2019
GO,Rio Verde,0.704390702042733,2019
GO,Rubiataba,0.793205317577548,2019
GO,Santa Helena de Goiás,0.7512437810945274,2019
GO,Santo Antônio do Descoberto,0.6881720430107527,2019
GO,Senador Canedo,0.6862745098039216,2019
GO,Silvânia,0.7573099415204678,2019
GO,São Luís de Montes Belos,0.7708454810495626,2019
GO,São Miguel do Araguaia,0.7763157894736842,2019
GO,Trindade,0.7052311699587585,2019
GO,Uruaçu,0.7380208333333333,2019
GO,Valparaíso de Goiás,0.6765148663906662,2019
GO,Águas Lindas de Goiás,0.6722399803294812,2019
MA,Alcântara,0.717948717948718,2019
MA,Amarante do Maranhão,0.7508731082654249,2019
MA,Anajatuba,0.7474747474747475,2019
MA,Araioses,0.7314487632508834,2019
MA,Arame,0.7627118644067796,2019
MA,Arari,0.7425373134328358,2019
MA,Açailândia,0.7405392620624409,2019
MA,Bacabal,0.7152790828791581,2019
MA,Bacuri,0.7737341772151899,2019
MA,Balsas,0.7533277870216306,2019
MA,Barra do Corda,0.7127397934087555,2019
MA,Barreirinhas,0.7415818324197337,2019
MA,Barão de Grajaú,0.8268506900878294,2019
MA,Bequimão,0.7907542579075426,2019
MA,Bom Jardim,0.7673469387755102,2019
MA,Brejo,0.843558282208589,2019
MA,Buriti Bravo,0.7818499127399651,2019
MA,Buriticupu,0.7666463042150274,2019
MA,Carolina,0.7492997198879552,2019
MA,Carutapera,0.7124773960216998,2019
MA,Caxias,0.7481263383297645,2019
MA,Chapadinha,0.7890884896872921,2019
MA,Codó,0.7664843075151166,2019
MA,Coelho Neto,0.7804314329738059,2019
MA,Colinas,0.7507537688442211,2019
MA,Coroatá,0.7469725940089229,2019
MA,Cururupu,0.7719869706840391,2019
MA,Dom Pedro,0.7815198618307426,2019
MA,Esperantinópolis,0.7194968553459119,2019
MA,Estreito,0.7571189279731994,2019
MA,Formosa da Serra Negra,0.8422273781902552,2019
MA,Governador Nunes Freire,0.7266009852216748,2019
MA,Grajaú,0.7068579112505603,2019
MA,Humberto de Campos,0.7406340057636888,2019
MA,Icatu,0.7658623771224308,2019
MA,Imperatriz,0.744183482192083,2019
MA,Itapecuru Mirim,0.6754604280736685,2019
MA,Itinga do Maranhão,0.7784911717495987,2019
MA,João Lisboa,0.7643540669856459,2019
MA,Lago da Pedra,0.717,2019
MA,Maracaçumé,0.7316582914572864,2019
MA,Matinha,0.8068376068376069,2019
MA,Mirinzal,0.783256880733945,2019
MA,Montes Altos,0.7637130801687764,2019
MA,Parnarama,0.7632263660017347,2019
MA,Paço do Lumiar,0.7323420074349443,2019
MA,Pedreiras,0.7420814479638009,2019
MA,Penalva,0.7197943444730077,2019
MA,Pindaré-Mirim,0.7738095238095238,2019
MA,Pinheiro,0.7668566001899335,2019
MA,Pio XII,0.7636122177954847,2019
MA,Porto Franco,0.7695530726256983,2019
MA,Presidente Dutra,0.7774011299435029,2019
MA,Raposa,0.7275953859804791,2019
MA,Rosário,0.7551605504587156,2019
MA,Santa Helena,0.7560738581146744,2019
MA,Santa Inês,0.7498863119599818,2019
MA,Santa Luzia,0.7497872340425532,2019
MA,Santa Luzia do Paruá,0.7910284463894968,2019
