ANO,TP_COR_RACA,UF,INSCRICOES,PARTICIPANTES
2023,0,AL,1155,720
2023,0,AM,1548,727
2023,0,AP,346,221
2023,0,BA,4325,2891
2023,0,CE,5198,3267
2023,0,DF,1171,764
2023,0,ES,675,420
2023,0,GO,2790,1440
2023,0,MA,1683,1054
2023,0,MG,4728,3166
2023,0,MS,581,350
2023,0,MT,844,494
2023,0,PA,3315,2213
2023,0,PB,1665,1086
2023,0,PE,2847,1802
2023,0,PI,1479,984
2023,0,PR,2109,1327
2023,0,RJ,3774,2373
2023,0,RN,1237,827
2023,0,RO,469,274
2023,0,RR,135,88
2023,0,RS,2087,1306
2023,0,SC,1081,656
2023,0,SE,1107,782
2023,0,SP,5500,3534
2023,0,TO,350,234
2023,1,AC,5184,3567
2023,1,AL,21940,15994
2023,1,AM,16629,9879
2023,1,AP,6183,4266
2023,1,BA,64453,48552
2023,1,CE,68394,52969
2023,1,DF,29224,21748
2023,1,ES,29545,21686
2023,1,GO,55964,39978
2023,1,MA,34190,24783
2023,1,MG,159978,119969
2023,1,MS,22295,15904
2023,1,MT,22507,16008
2023,1,PA,47160,34373
2023,1,PB,41566,31253
2023,1,PE,73027,54546
2023,1,PI,22588,17260
2023,1,PR,110275,79277
2023,1,RJ,127173,90213
2023,1,RN,40549,30608
2023,1,RO,10545,7332
2023,1,RR,2321,1633
2023,1,RS,123342,88213
2023,1,SC,67155,48682
2023,1,SE,16666,12947
2023,1,SP,349065,256381
2023,1,TO,7930,5762
2023,2,AC,2751,1618
2023,2,AL,10258,6384
2023,2,AM,5451,2755
2023,2,AP,4025,2394
2023,2,BA,91485,58213
2023,2,CE,18850,12799
2023,2,DF,10126,6383
2023,2,ES,11367,6737
2023,2,GO,17468,10120
2023,2,MA,24040,15602
2023,2,MG,48946,30178
2023,2,MS,3629,2118
2023,2,MT,8378,4949
2023,2,PA,29192,18745
2023,2,PB,12049,7921
2023,2,PE,28271,18416
2023,2,PI,14339,9642
2023,2,PR,8674,5159
2023,2,RJ,53158,31244
2023,2,RN,9981,6781
2023,2,RO,3769,2247
2023,2,RR,805,492
2023,2,RS,11747,6796
2023,2,SC,4748,2563
2023,2,SE,9970,6806
2023,2,SP,61038,36886
2023,2,TO,4996,3048
2023,3,AC,14970,9095
2023,3,AL,46511,30110
2023,3,AM,64274,32200
2023,3,AP,17658,10933
2023,3,BA,156217,105622
2023,3,CE,145144,101742
2023,3,DF,30989,20452
2023,3,ES,31031,19779
2023,3,GO,68205,42165
2023,3,MA,102782,69068
2023,3,MG,139341,93259
2023,3,MS,18695,11488
2023,3,MT,30526,19110
2023,3,PA,144411,94725
2023,3,PB,65566,44912
2023,3,PE,107981,73495
2023,3,PI,58804,41225
2023,3,PR,41760,26368
2023,3,RJ,94513,58555
2023,3,RN,46997,33280
2023,3,RO,20167,12538
2023,3,RR,5672,3478
2023,3,RS,21877,13883
2023,3,SC,17241,10224
2023,3,SE,36132,25554
2023,3,SP,161105,102072
2023,3,TO,18229,11896
2023,4,AC,713,442
2023,4,AL,2200,1343
2023,4,AM,1381,693
2023,4,AP,375,222
2023,4,BA,5511,3567
2023,4,CE,3086,2072
2023,4,DF,1230,779
2023,4,ES,775,434
2023,4,GO,3951,2281
2023,4,MA,2298,1510
2023,4,MG,4603,2855
2023,4,MS,1011,709
2023,4,MT,1198,713
2023,4,PA,3836,2457
2023,4,PB,2417,1603
2023,4,PE,3608,2249
2023,4,PI,1967,1319
2023,4,PR,3271,2422
2023,4,RJ,2944,1687
2023,4,RN,1561,1046
2023,4,RO,760,438
2023,4,RR,108,60
2023,4,RS,541,358
2023,4,SC,746,448
2023,4,SE,1314,876
2023,4,SP,12253,9545
2023,4,TO,854,546
2023,5,AC,280,147
2023,5,AL,696,402
2023,5,AM,3633,1655
2023,5,AP,220,141
2023,5,BA,2277,1412
2023,5,CE,1288,851
2023,5,DF,235,141
2023,5,ES,331,179
2023,5,GO,732,367
2023,5,MA,763,465
2023,5,MG,979,588
2023,5,MS,1244,670
2023,5,MT,459,207
2023,5,PA,1248,780
2023,5,PB,1248,828
2023,5,PE,3125,2066
2023,5,PI,462,331
2023,5,PR,417,223
2023,5,RJ,734,430
2023,5,RN,381,263
2023,5,RO,328,170
2023,5,RR,598,319
2023,5,RS,325,179
2023,5,SC,292,127
2023,5,SE,351,224
2023,5,SP,1806,1062
2023,5,TO,259,126
