ANO,Q024,UF,INSCRICOES,PARTICIPANTES
2023,B,PB,35157,25898
2023,B,PE,60743,44399
2023,B,PI,24132,17994
2023,B,PR,72352,51600
2023,B,RJ,113336,77179
2023,B,RN,34214,25577
2023,B,RO,13107,8994
2023,B,RR,3200,2175
2023,B,RS,72406,51451
2023,B,SC,41512,29435
2023,B,SE,17242,12934
2023,B,SP,257137,183547
2023,B,TO,10330,7293
2023,C,AC,1198,911
2023,C,AL,3885,3226
2023,C,AM,4299,2939
2023,C,AP,1533,1183
2023,C,BA,15245,12262
2023,C,CE,11628,9486
2023,C,DF,10635,8256
2023,C,ES,7879,6162
2023,C,GO,13424,10366
2023,C,MA,5645,4483
2023,C,MG,40321,31900
2023,C,MS,4499,3560
2023,C,MT,6065,4683
2023,C,PA,8727,7008
2023,C,PB,6957,5655
2023,C,PE,12049,9787
2023,C,PI,4532,3712
2023,C,PR,22267,17269
2023,C,RJ,30200,23296
2023,C,RN,6801,5464
2023,C,RO,2560,1965
2023,C,RR,999,762
2023,C,RS,20073,15706
2023,C,SC,13091,10301
2023,C,SE,3451,2857
2023,C,SP,80841,64787
2023,C,TO,2316,1829
2023,D,AC,360,295
2023,D,AL,1264,1100
2023,D,AM,1353,989
2023,D,AP,448,365
2023,D,BA,5033,4188
2023,D,CE,4279,3616
2023,D,DF,5480,4491
2023,D,ES,2779,2258
2023,D,GO,4505,3692
2023,D,MA,1628,1342
2023,D,MG,13927,11644
2023,D,MS,1501,1251
2023,D,MT,1939,1599
2023,D,PA,2669,2236
2023,D,PB,2457,2140
2023,D,PE,4753,4019
2023,D,PI,1491,1251
2023,D,PR,8204,6696
2023,D,RJ,12105,9744
2023,D,RN,2389,2037
2023,D,RO,706,586
2023,D,RR,334,268
2023,D,RS,6902,5732
2023,D,SC,4885,4045
2023,D,SE,1134,973
2023,D,SP,33054,27668
2023,D,TO,717,601
2023,E,AC,128,106
2023,E,AL,525,461
2023,E,AM,573,432
2023,E,AP,180,149
2023,E,BA,2132,1778
2023,E,CE,1957,1634
2023,E,DF,3511,2914
2023,E,ES,1232,1024
2023,E,GO,1861,1548
2023,E,MA,582,492
2023,E,MG,6512,5532
2023,E,MS,665,566
2023,E,MT,701,572
2023,E,PA,988,842
2023,E,PB,1129,995
2023,E,PE,2483,2094
2023,E,PI,584,490
2023,E,PR,3954,3252
2023,E,RJ,6252,5188
2023,E,RN,970,842
2023,E,RO,302,261
2023,E,RR,158,132
2023,E,RS,3263,2776
2023,E,SC,2111,1742
2023,E,SE,475,412
2023,E,SP,18771,15839
2023,E,TO,269,228
