NU_ANO,SG_UF_PROVA,QUANTIDADE_PESSOAS,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
2022,TO,19076,482.0423464038583,509.19233591948,496.9223893898092,517.2938351855735,610.406793877123
2023,AC,15099,473.13022054440694,507.22985628187297,506.0475329492019,491.0937744221472,591.259023776409
2023,AL,54953,480.42872636616744,506.36212763634376,501.8316725201536,508.32718322930504,606.547413244045
2023,AM,47909,470.6459183034503,497.85176271681735,497.4140579014382,484.36596046671815,550.7649919639316
2023,AP,18177,473.38838092094403,504.1559003135831,499.23126478516804,481.32558177917144,582.081751664191
2023,BA,220257,483.51536023826714,513.2542952096868,506.81481451213807,506.0140099974121,613.6307132122929
2023,CE,173700,482.79594588370753,511.5769545192861,508.8936137017847,523.3334467472654,618.060679332182
2023,DF,50267,513.859331171544,545.9592038514334,539.4975132790896,554.8269719696818,640.1945610440249
2023,ES,49235,509.1584502894283,539.2382878033919,529.8800284350564,556.1361348634102,648.3521884838021
2023,GO,96351,496.8778632292348,523.9986860541146,518.2616111924111,532.8970368755903,641.933970586709
2023,MA,112482,466.71157963051866,493.70474387013036,489.8507832364289,482.9102114116036,589.2284987820274
2023,MG,250015,514.6485682859028,545.7012255264684,535.3713593184409,567.5892198468092,662.3881767093974
2023,MS,31239,495.60984666602644,523.1947501520535,517.2709945900957,528.5588463139026,604.8887608438171
2023,MT,41481,488.22584074636586,517.1229261589643,511.260082929534,516.4380318700128,600.7285263132519
2023,PA,153293,472.1475905618652,500.2093996464287,493.1625070942574,484.25232593790975,593.6261929768483
2023,PB,87603,485.20832277433425,513.3458956885038,508.42558359873516,513.6532253461639,626.2253575790784
2023,PE,152574,487.7598424371125,515.4276796833012,512.4028012636492,526.6225818291451,619.4688479033125
2023,PI,70761,476.4669818120151,499.57158039032805,496.5471064569466,502.6531705317901,616.0749565438589
2023,PR,114776,507.33949344810765,539.3661845682025,534.0693324388374,553.2993343556144,616.2490416114867
2023,RJ,184502,506.51222479973114,542.8182502086698,534.1109760327802,552.1301378846842,644.4028791015816
2023,RN,72805,493.444452990866,523.3759741775976,516.7388558478126,525.3644213996292,625.7803722271822
2023,RO,22999,480.34712378799077,506.6610722205313,502.13881038306016,502.47786425496764,596.7676855515457
2023,RR,6070,494.00621087314664,523.1446293245469,518.2708072487644,519.6557001647446,591.6144975288303
2023,RS,110735,508.90624463809996,542.7405066148914,538.3379943107418,558.0160419018378,639.8195692418838
2023,SC,62700,510.60753588516747,545.7358421052631,537.5146794258372,562.0214625199362,642.2245614035088
2023,SE,47189,485.2949776430948,511.636633537477,505.44545550869907,509.5788976244464,636.2478543728412
2023,SP,409480,515.6321849662987,548.6603751098955,542.8215636905344,572.3884492527108,645.1077952525154
2023,TO,21612,479.9284471589857,504.5885202665186,501.2712289468814,503.8812002591153,603.6174347584675
